AFF_LOVE_POINT	Punto amore: %d%%
ALCHEMY_BRILLIANT	Brilliante
ALCHEMY_CLEAR	Vuoto
ALCHEMY_EXCELLENT	Eccellente
ALCHEMY_FLAWLESS	Impeccabile
ALCHEMY_MTSY	Mistica
ALIGNMENT_NAME	Punti Karma:
ALL_CHANNEL	All ch	
ALL_KINGDOMS	|cFF97AE99All kingdoms:|h|r	
APRIL	April	
ATTR_6TH_7TH_ADD_QUESTION1	Non si può usare l'oggetto mentre si aggiunge un bonus.
ATTR_6TH_7TH_ADD_QUESTION2	Aggiungere il bonus?
ATTR_6TH_7TH_DESC1	a. Devi aggiungere i materiali richiesti per l'oggetto per aggiungere un 6° e 7° bonus.
ATTR_6TH_7TH_DESC2	b. Ogni powershard aumenta la percentuale di successo del 2%.
ATTR_6TH_7TH_DESC3	c. Usa un additivo per aumentare ulteriormente il tasso di successo.
ATTR_6TH_7TH_DESC4	d. Ci vogliono 24 ore per aggiungere un bonus. Durante questo periodo, l'NPC manterrà l'oggetto su cui dovrebbe essere aggiunto il bonus. Non appena il processo è completo, puoi ritirarlo di nuovo.
ATTR_6TH_7TH_POSSIBILITY	Puoi aggiungere un ulteriore bonus.
ATTR_6TH_7TH_TOTAL_SUCCESS_PERCENT	Probabilità di successo: %.1f%%
AUGUST	Agosto	
AUTOSKILL_0_1	Allena la forza del tuo corpo	
AUTOSKILL_0_2	Allena la resistenza del tuo corpo	
AUTOSKILL_1_1	Affila i tuoi pugnali per uccidere	
AUTOSKILL_1_2	Usa il tuo arco per lottare	
AUTOSKILL_2_1	Ama le tue armi magiche	
AUTOSKILL_2_2	Divertiti con la magia nera	
AUTOSKILL_3_1	Usa la tua forza per aiutare	
AUTOSKILL_3_2	Usa la luce per curare	
BANK_ADD_TITLE	Bank: Accedi Yang	
BANK_APPEND_LOG_ADD	Entrato	
BANK_APPEND_LOG_CHANGE_PW	Cambia il pin	
BANK_APPEND_LOG_RECEIVED	Ricevuto	
BANK_APPEND_LOG_SEND	Inviato	
BANK_APPEND_LOG_WITHDRAW	Ritirato	
BANK_CHANGEPW_TITLE	Cambia Password	
BANK_CHOOSE_BOARD_TITLE	Bank account	
BANK_CHOOSE_CREATE	Crea Account	
BANK_CHOOSE_LOGIN	Login	
BANK_CONECTING_DIALOG	Page: [%s - %d]	
BANK_CREATE_TITLE	Crea un account bancario	
BANK_CURRENT_PAGE		
BANK_LINE_ACCOUNT	Conto	
BANK_LINE_AMOUNT	Quantità	
BANK_LINE_PASSWORD	Password:	
BANK_LINE_REPASSWORD	Ripeti password:	
BANK_LOGIN_TITLE	Collegamento al conto bancario	
BANK_SEND_TITLE	Invia soldi ad un personaggio	
BANK_TITLE_LOGS_ACTION	#Action	
BANK_TITLE_LOGS_AMOUNT	#Amount	
BANK_TITLE_LOGS_DATE	#Date	
BANK_TITLE_LOGS_HOUR	#Time	
BANK_TITLE_LOGS_IP	#Ip	
BANK_TITLE_LOGS_TARGET	#De || #For	
BANK_TITLE_NAME	Bank System - [i] Ultimo 1025 records	
BANK_TOOLTIP_BTN_ADD	1.11e+121	
BANK_TOOLTIP_BTN_CHANGE	Cambia password della banca	
BANK_TOOLTIP_BTN_SEND	Invia Yang ad un giocatore	
BANK_TOOLTIP_BTN_WITHDRAW	Rimuovi Yang	
BANK_TYPE_AMOUNT	Quantità:	
BANK_WITHDRAW_TITLE	Bank: Rimuovi Yang	
BANK_WRONG_ID	Nome di accesso errato	
BANK_WRONG_PW	Password errata	
BATTLEPASS_ALREADY_GET_REWARD	Hai già richiesto questo premio!	
BATTLEPASS_DEACTIVE_TEXT_1	"Devi acquistare il ""pass battaglia"" per poterlo fare"	
BATTLEPASS_DEACTIVE_TEXT_2	Completa le missioni e ottieni le ricompense.	
BATTLEPASS_DESCRIPTION	Descrizione	
BATTLEPASS_INFORMATION	Informazione	
BATTLEPASS_INFORMATION_EX	Informazioni Pass	
BATTLEPASS_REWARD_INFO	Devi finire tutte le missioni!	
BATTLEPASS_TIME_FORMAT	%2d Giorni %2dh %2dm %2ds	
BATTLEPASS_TITLE	[F6] Pass Battaglia	
BATTLEPASS_TOTAL_PROGRESS	Progresso totale	
BATTLE_PASS_MISSION_STATUS	Stato:	
BATTLE_POINT	Punti Combattimento	
BERANSETAOU	Tempio del drago	
BIO_CAN_GIVE_ITEM	Puoi consegnare il seguente oggetto!	
BIO_CHOOSE_GIFT	Scegli un bonus:	
BIO_DONT_HAVE_MISSION	Non hai missioni disponibili.	
BIO_EMPTY_BONUS	Non ha bonus.	
BIO_FIND_STONE	Trova la pietra della missione!	
BIO_GIFT	Ricompensa	
BIO_GIVE_MISSION	Consegnare	
BIO_MISSION_TITLE	Livello %d: %s	
BIO_NEED_LEVEL	Il tuo livello è troppo basso. Livello necessario: %d	
BIO_TIME_TEXT	%d D %d H %d Min. %d Seg.	
BIO_TITLE	Biologo	
BLUE_KINGDOM	|cFF8CADDBJinno:|h|r	
BONUS_END_IN	Fine at: %s	
BONUS_EVENT	Bonus:	
BONUS_NEXT_EVENT	|Eemoji/key_rclick|e - next event	
BONUS_START_IN	Inizia in: %s	
BONUS_TABLE_1	Giocatori Jinno	
BONUS_TABLE_2	Giocatori ShinSoo	
BONUS_TABLE_4	Giocatori	
BONUS_TABLE_5	Duelli vinti	
BONUS_TABLE_6	Duelli persi	
BONUS_TABLE_7	Mostri uccisi	
BONUS_TABLE_8	Boss sconfitti	
BONUS_TABLE_9	metin distrutte	
BONUS_TABLE_TITLE_1	PVM attributi	
BONUS_TABLE_TITLE_2	PVP attributi	
BONUS_TABLE_TITLE_3	Offensive attributi	
BONUS_TABLE_TITLE_4	Defensive attributi	
CANCEL	Cancella	
CANNOT_ATTACK_DEST_IN_SAFE	L'avversario è troppo lontano.
CANNOT_ATTACK_SELF_IN_SAFE	Da qui non posso attaccare l'avversario.
CANNOT_EQUIP_IN_EXCHANGE	Mentre stai commerciando non puoi cambiare nessuna armatura.
CANNOT_EQUIP_IN_SHOP	Mentre stai commerciando non puoi cambiare nessuna armatura.
CANNOT_OPEN_PRIVATE_SHOP_IN_SAFE_AREA	Non puoi aprire il tuo negozio privato in un luogo pubblico.
CANNOT_SHOOT_DEST_IN_SAFE	L'avversario è troppo lontano.
CANNOT_SHOOT_EMPTY_ARROW	Mi serve una freccia.
CANNOT_SHOOT_SELF_IN_SAFE	Da qui non posso attaccare l'avversario.
CANNOT_SKILL_APPROACH	Sono sicuro di non riuscire ad arrivarci da più vicino.
CANNOT_SKILL_ATTACK	Non lo posso attaccare.
CANNOT_SKILL_DEST_IN_SAFE	L'avversario è troppo lontano.
CANNOT_SKILL_EQUIP_FISHING_ROD	Non è possibile pescare senza che si stia utilizzando una canna da pesca.
CANNOT_SKILL_HAVE_TO_RIDE	Per utilizzarlo mi serve un cavallo.
CANNOT_SKILL_NEED_EMPTY_BOTTLE	Non ho una bottiglia vuota.
CANNOT_SKILL_NEED_POISON_BOTTLE	Non ho una bottiglia di veleno.
CANNOT_SKILL_NEED_TARGET	Chi è il bersaglio?
CANNOT_SKILL_NOT_ENOUGH_HP	Non ho abbastanza HP!
CANNOT_SKILL_NOT_ENOUGH_SP	Non ho abbastanza MP!
CANNOT_SKILL_NOT_HORSE_SKILL	Non lo posso utilizzare mentre cavalco.
CANNOT_SKILL_NOT_MATCHABLE_WEAPON	Non posso utilizzare questa abilità con quest`arma.
CANNOT_SKILL_NOT_YET_LEARN	Non ho imparato quest`abilità.
CANNOT_SKILL_ONLY_FOR_ALLIANCE	Ha effetto solo sui membri del gruppo.
CANNOT_SKILL_ONLY_FOR_CORPSE	Ha effetto solo sui morti.
CANNOT_SKILL_REMOVE_FISHING_ROD	Non posso utilizzare questa abilità con la mia canna da pesca.
CANNOT_SKILL_SELF_IN_SAFE	Da qui non posso attaccare.
CANNOT_SKILL_USE_SELF	Non posso usarlo su me stesso.
CANNOT_SKILL_WAIT_COOLTIME	Non sono ancora in grado di utilizzare questa abilità.
CANNOT_USE	Non la puoi utilizzare.
CANNOT_WHISPER_DEST_REFUSE	%s ha bloccato la chat privata.	SA
CANNOT_WHISPER_NOT_LOGON	%s non è online.	SA
CANNOT_WHISPER_SELF_REFUSE	Non puoi chattare privatamente con gli altri se hai bloccato la Chat privata.	SNA
CATACUMB	Catacombe del Diavolo	
CATEGORY_0_NAME	All Offers	
CATEGORY_0_SUB_0_NAME	Battle pass
CATEGORY_0_SUB_1_NAME	Perso packs
CATEGORY_1_NAME	Daily Usable	
CATEGORY_2_NAME	Cosmetics	
CATEGORY_2_SUB_0_NAME	Weapons Skins	
CATEGORY_2_SUB_1_NAME	Body Costume	
CATEGORY_2_SUB_2_NAME	Hairstyles	
CATEGORY_2_SUB_3_NAME	Sash Skin	
CATEGORY_2_SUB_4_NAME	Mount Skin
CATEGORY_3_NAME	Pets and mounts	
CATEGORY_3_SUB_0_NAME	Mounts	
CATEGORY_3_SUB_1_NAME	Leveable pets	
CATEGORY_3_SUB_2_NAME	Normal pets	
CATEGORY_4_NAME	Vouchers	
CATEGORY_5_NAME	Reinforce Costume	
CATEGORY_5_SUB_0_NAME	Weapon Skin	
CATEGORY_5_SUB_1_NAME	Body Costume	
CATEGORY_5_SUB_2_NAME	Hairstyles	
CATEGORY_5_SUB_3_NAME	Mount Skin	
CATEGORY_5_SUB_4_NAME	Sash Skin
CATEGORY_6_NAME	Premium Packages	
CATEGORY_7_NAME	Rings
CHANNEL	Canale	
CHANNEL_EMPTY_SERVER	Non-server	
CHANNEL_NORMAL	Channel %d	
CHANNEL_NOTIFY_FULL	Questo canale è pieno! Sei pregato di sceglierne un altro.
CHANNEL_NOT_FIND_INFO	Non ricevi nessuna informazione sul canale.
CHANNEL_PVP	Duello libero
CHANNEL_SELECT_CHANNEL	Scegli il canale
CHANNEL_SELECT_REGION	Scegli il luogo per il conto
CHANNEL_SELECT_SERVER	Scegli il server
CHANNEL_STATE_FULL	Pieno	
CHANNEL_STATE_MED	Molto frequentato	
CHANNEL_STATE_NORMAL	Normale	
CHANNEL_STATE_OFF	...	
CHARACTER_ASSASSIN	Ninja	
CHARACTER_CREATE_APPEARANCE1	Style 1	
CHARACTER_CREATE_APPEARANCE2	Style 2	
CHARACTER_CREATE_FEMALE	Femmina	
CHARACTER_CREATE_MALE	Maschio	
CHARACTER_CREATE_MODE	Crea Personaggio	
CHARACTER_NAME	Name	
CHARACTER_SELECT_MODE	Seleziona il server	
CHARACTER_SHAMAN	Shaman	
CHARACTER_SURA	Sura	
CHARACTER_WARRIOR	Warrior	
CHATTING_SETTING_ADD	Aggiungi scheda
CHATTING_SETTING_ADD_MAX	Hai raggiunto il limite massimo.
CHATTING_SETTING_CANCLE	Anullare	
CHATTING_SETTING_CHANGE_TITLE_NAME	Vuoi salvare il nome di questa chat?
CHATTING_SETTING_CHANGE_TITLE_NOT	Non è possibile modificare il nome della chat generale.
CHATTING_SETTING_CLEAR	Resettare?
CHATTING_SETTING_CLEAR_QUESTION	Vuoi resettare le opzioni?	
CHATTING_SETTING_DEL	Rimuovi campo
CHATTING_SETTING_DETAIL	Opzioni Chat	
CHATTING_SETTING_DICE	Lui dice	
CHATTING_SETTING_DICE_SETTING	Dice opzioni	
CHATTING_SETTING_EXP	Esperienza	
CHATTING_SETTING_GOLD	Oro ricevuto	
CHATTING_SETTING_GUILD	Gilda	
CHATTING_SETTING_ITEM	Oggetti ricevuti	
CHATTING_SETTING_LANGUAGE	Lingua %d	
CHATTING_SETTING_LANGUAGE_CUR	Lingua corrente: ( %s)	
CHATTING_SETTING_LANGUAGE_OFF	Off	
