AFF_LOVE_POINT	Puncte de dragoste: %d%%	
ALCHEMY_BRILLIANT	Lucios	
ALCHEMY_CLEAR	Curata	
ALCHEMY_EXCELLENT	Grozav	
ALCHEMY_FLAWLESS	Normal	
ALCHEMY_MTSY	Misticism	
ALIGNMENT_NAME	Puncte de clasificare:	
ALL_CHANNEL	Toate CH	
ALL_KINGDOMS	|cFF97AE99Toate regatele:|h|r
APRIL	Aprilie	
ATTR_6TH_7TH_ADD_QUESTION1	Nu puteti utiliza acest articol in timp ce se adauga bonus.	
ATTR_6TH_7TH_ADD_QUESTION2	Cu siguranta doriti sa adaugati bonusul?	
ATTR_6TH_7TH_DESC1	A. trebuie sa adaugati materialele corecte pentru a adauga un bonus de 6-7	
ATTR_6TH_7TH_DESC2	B. fiecare imbunatatitor creste probabilitatea cu 2%	
ATTR_6TH_7TH_DESC3	C. utilizati un imbunatatitor pentru a creste probabilitatea de succes	
ATTR_6TH_7TH_DESC4	D. procesul de adaugare a bonusului este imediat. daca nu ati reusit sa adaugati bonusul, puteti incerca din nou	
ATTR_6TH_7TH_POSSIBILITY	Se poate adauga un bonus suplimentar	
ATTR_6TH_7TH_TOTAL_SUCCESS_PERCENT	Prob. introduceti bonus: %.1f	
AUGUST	August	
AUTOSKILL_0_1	Antreneaza-ti puterea corpului	
AUTOSKILL_0_2	Antreneaza-ti rezistenta corpului	
AUTOSKILL_1_1	Antreneaza-ti pumnalele pentru a ucide	
AUTOSKILL_1_2	Foloseste-ti arcul pentru a lupta	
AUTOSKILL_2_1	Vrajeste-ti armele	
AUTOSKILL_2_2	Joaca-te cu magia neagra	
AUTOSKILL_3_1	Foloseste puterea pentru a ajuta	
AUTOSKILL_3_2	Foloseste lumina pentru a vindeca	
BANK_ADD_TITLE	Banca: introduceti yang	
BANK_APPEND_LOG_ADD	S -a alaturat	
BANK_APPEND_LOG_CHANGE_PW	Schimba pin-ul	
BANK_APPEND_LOG_RECEIVED	Primit	
BANK_APPEND_LOG_SEND	Trimite	
BANK_APPEND_LOG_WITHDRAW	Retras	
BANK_CHANGEPW_TITLE	Schimbati parola	
BANK_CHOOSE_BOARD_TITLE	Cont bancar	
BANK_CHOOSE_CREATE	Creeaza cont	
BANK_CHOOSE_LOGIN	Autentificare	
BANK_CONECTING_DIALOG	Vei fi conectat la banca ...	
BANK_CREATE_TITLE	Creati un cont bancar	
BANK_CURRENT_PAGE	Pagina: [ %s - %d]	
BANK_LINE_ACCOUNT	Factura	
BANK_LINE_AMOUNT	Cantitate	
