ACCEPT	A accepta
ARMOR	Armura
ATTACH_METIN_INFO	Doresti sa utilizezi Piatra Spiritului?
ATTACH_METIN_TITLE	Foloseste Piatra Spiritului
ATTR_67_ADD	Adauga bonus
ATTR_67_ADD_TITLE	Adauga bonus
ATTR_67_MATERIAL_SLOT_TITLE	Obiect necesar
ATTR_67_REGIST_SLOT_TITLE	Obiect
ATTR_67_SUPPORT_SLOT_TITLE	Potentant
AUTOMATIC_PCIK_UP_ACCESSORIES	Accesorii
AUTOMATIC_PCIK_UP_ACTIVATE	Activat
AUTOMATIC_PCIK_UP_ARMORS	Armura
AUTOMATIC_PCIK_UP_BLACKSMITH	Obj. modernizare
AUTOMATIC_PCIK_UP_BOOKS	Carti
AUTOMATIC_PCIK_UP_DEACTIVATE	Dezactivat
AUTOMATIC_PCIK_UP_GOLD	yang
AUTOMATIC_PCIK_UP_STONES	Pietre
AUTOMATIC_PCIK_UP_WEAPONS	Arme
AUTOMATIC_PICK_UP	Colectati automat
AUTOMATIC_PICK_UP_FILTER	Filtreaza dupa:
BANK_1	Aceasta banca stocheaza tot yang -ul pe care l -ati obtinut
BANK_2	Cu vanzarea obiectelor dvs. in magazinul offline.
BANK_3	Introduceti suma pe care doriti sa o retrageti.
BANK_GET	Retrage
BANK_NAME	Banca
BATTLE_FIELD_EACH_DAY	%s: | cff14ff48 | h%02i:%02i | h | r - | cffff1a00 | h%02i:%02i | h | r r
BATTLE_FIELD_FRIDAY	Vineri
BATTLE_FIELD_INFO	Zona de lupta
BATTLE_FIELD_MONDAY	Luni
BATTLE_FIELD_MONSTERS_LIMIT	%d/%d
BATTLE_FIELD_OPERATION_OFFLINE	Intrare inchisa!
BATTLE_FIELD_OPERATION_ONLINE	Intrare deschisa!
BATTLE_FIELD_POINTS	%d
BATTLE_FIELD_REQUEST_POTION	Solicitati potiunea
BATTLE_FIELD_SATURDAY	Sambata
BATTLE_FIELD_SUNDAY	Duminica
BATTLE_FIELD_THURSDAY	joi
BATTLE_FIELD_TUESDAY	Marti
BATTLE_FIELD_WEDNESDAY	Miercuri
BATTLE_FILED_RANK	Clasament
BATTLE_FILED_RANK_EMPIRE	Regat
BATTLE_FILED_RANK_NAME	Nume
BATTLE_FILED_RANK_POINT	Puncte
BATTLE_PASS	Battle Pass
BATTLE_PASS_DESCRIPTION	Descriere
BATTLE_PASS_FINISHED	Termina in: (pas terminer)
BATTLE_PASS_INFO	Informatie Battle Pass
BATTLE_PASS_MISSION_INFO	Informatie
BATTLE_PASS_MISSION_NAME	Misiunea nom
BATTLE_PASS_MISSION_STATUS	Stare
BATTLE_PASS_TOTAL_PROGRESS	Progres total
BONUS_TITLE	Prima
CALENDAR_TITLE	Calendar Evenimente
CANCEL	Anulare
CHANGE_EQUIP	Schimba
CHANGE_EQUIP_1	1. inventar
CHANGE_EQUIP_2	2. inventar
CHANGE_EQUIP_3	3. inventar
CHANGE_EQUIP_4	4. inventar
CHANGE_PASSWORD_CONFIRM	Confirmati noua parola
CHANGE_PASSWORD_NEW	Parola noua
CHANGE_PASSWORD_OLD	Parola veche
CHANGE_PASSWORD_TITLE	Schimbarea parolei
CHARACTER_ACTION	Actiune
CHARACTER_MAIN	Caracter
CHARACTER_MUTUAL_ACTION	Actiune reciproca
CHARACTER_NORMAL_ACTION	Actiune normala
CHARACTER_QUEST	Misiuni
CHARACTER_SKILL	Aptitudini
CHEST_DROP_TITLE	Posibil drop
CLOSE	Inchide
COINS	Monede de dragon
COSTUME_TITLE	Costume
COSTUME_WINDOW_TITLE	Costume
CREATE_ATT_GRADE	STR
CREATE_CREATE	Creeaza
CREATE_DEX_GRADE	DEX
CREATE_HP	VIT
CREATE_NAME	Nume
CREATE_NEXT	Continua
CREATE_PREV	Inapoi
CREATE_SHAPE	Aspect
CREATE_SP	INT
CUBE_INFO_TITLE	Manualul Imbunatatirii
CUBE_RENEWAL_BELT_IMPROVE	Cresterea probabilitatilor
CUBE_RENEWAL_TITLE	Rafinament
CUBE_REQUIRE_MATERIAL	Materiale necesare
CUBE_REQUIRE_MATERIAL_OR	sau
CUBE_TITLE	Fereastra de rafinament
Chest_drop_01	Deschis %d
DESTROY	Distruge
DO_REFINE	Rafina
DO_SHOP	Magazin
DR	Daune fizice reflectate
DRAGONSOUL_ACTIVATE	Activeaza
DRAGONSOUL_ALL_REFINE	Rafina totul
DRAGONSOUL_PAGE_BUTTON_1	Brut
DRAGONSOUL_PAGE_BUTTON_2	Taiat
DRAGONSOUL_PAGE_BUTTON_3	Rar
DRAGONSOUL_PAGE_BUTTON_4	Antic
DRAGONSOUL_PAGE_BUTTON_5	Legendar
DRAGONSOUL_REFINE_WINDOW_TITLE	Fereastra de rafinament
DRAGONSOUL_TAP_TITLE_1	Diamant Dragon
DRAGONSOUL_TAP_TITLE_2	Rubin Dragon
DRAGONSOUL_TAP_TITLE_3	Jad Dragon
DRAGONSOUL_TAP_TITLE_4	Safir Dragon
DRAGONSOUL_TAP_TITLE_5	Granat Dragon
DRAGONSOUL_TAP_TITLE_6	Onyx Dragon
DRAGONSOUL_TITLE	Alchimie Piatra Dragon
EMPIRE_EXIT	Sfarsit
EMPIRE_NEXT	Continua
EMPIRE_PREV	Inapoi
EMPIRE_SELECT	Alege
ENTER_BATTLE_FIELD	Ia parte
EXCHANGE_ACCEPT	Accepta
EXCHANGE_TITLE	Negociaza
EXIT_BATTLE_FIELD	Cu siguranta vrei sa iesi din zona de lupta?
EXIT_BATTLE_FIELD_COLLECTED_POINTS	Puncte curente: %d
FOREVER	Permanent
GAMEOPTION_COUNTRY_FLAG	Steagul regatului
GAMEOPTION_HIDE	Ascunde
GAMEOPTION_QUEST_LETTER	Scrisoare de cautare
GAMEOPTION_SHOW	Spectacol
GAMEOPTION_TITLE	Optiuni joc
GAME_EXIT_OBSERVER	Inchide modul spectator
GAME_HELP	Ajutor
GAME_QUEST	Sarcini
GAME_SKILL_UP	Creste Abilitatile
GAME_STAT_UP	Creste statusul
GIFT_FROM	Din
GIFT_GET_ALL	Inlatura tot
GIFT_GET_QUEST	Cu siguranta doriti sa va retrageti „%s”?
GIFT_GET_QUEST_ALL	Vrei sa retragi toate obiectele?
GIFT_MONEY_DESC	Ati castigat bani vanzand un obiect.
GIFT_NEXT_PAGE	Ca urmare a
GIFT_PREV_PAGE	Inapoi
GIFT_REASON	Motiv
GIFT_WINDOW_NAME	Obiecte pensionate
GRADE	Clasa
GRADE_SELECT	Clasa
GUILD_BASENAME	Numele de baza
GUILD_BOARD_ID	Nume
GUILD_BOARD_REFRESH	Reimprospatare (f5)
GUILD_BOARD_TEXT	Mesaj
GUILD_BUILDING_CATEGORY_TITLE	Unitati de constructie
GUILD_BUILDING_CHANGE	Schimbare
GUILD_BUILDING_DIRECTION	Orientare
GUILD_BUILDING_GRADE	Clasificare
GUILD_BUILDING_INFO	Informatii pentru constructii si costuri
GUILD_BUILDING_LIST_TITLE	Lista de constructii
GUILD_BUILDING_LOG	Trompa
GUILD_BUILDING_NAME	Numele constructiei
GUILD_BUILDING_OPERATE	A functiona
GUILD_BUILDING_PLY	Chapeado
GUILD_BUILDING_POSITION	Pozitie
GUILD_BUILDING_PREVIEW	Previzualizare
GUILD_BUILDING_PRICE	Pret
GUILD_BUILDING_REFRESH	Reimprospatare (f5)
GUILD_BUILDING_STONE	Piatra
GUILD_BUILDING_TITLE	Constructia casei gremio
GUILD_CRYSTAL	Sticla
GUILD_DEPOSIT	Depozit
GUILD_DROP_RESOURCE1	Aici
GUILD_DROP_RESOURCE2	Parasiti resursa
GUILD_GEM	Bijuterie
GUILD_GRADE_CHANGE_GRADE_NAME	Nume nou
GUILD_GRADE_NUM	Nr.
GUILD_GRADE_PERMISSION_DELETE	Expulza
GUILD_GRADE_PERMISSION_JOIN	A invita
GUILD_GRADE_PERMISSION_NOTICE	Scrie
GUILD_GRADE_PERMISSION_SKILL	Aptitudini
GUILD_GRADE_RANK	Gama
GUILD_GRADE_WRITE	Scrie
GUILD_INFO	Informatii despre breasla
GUILD_INFO_CUR_EXP	Experienta
GUILD_INFO_DECALRE_WAR	A declara razboi
GUILD_INFO_ENEMY_GUILD	Breasla inamica
GUILD_INFO_ENEMY_GUILD_EMPTY	Nici unul
GUILD_INFO_LEVEL	Nivel de breasla
GUILD_INFO_MASTER	Lider
GUILD_INFO_MASTER_VALUE	Lider
GUILD_INFO_MEMBER_AVG_LEVEL	Nivel mediu
GUILD_INFO_MEMBER_NUM	Numarul de membri
GUILD_INFO_NAME	Numele breslei
GUILD_INFO_NAME_VALUE	Acesta este numele unei breasle
GUILD_INFO_OFFER_EXP	Investi
GUILD_INFO_REST_EXP	Exp. necesar
GUILD_INFO_UPLOAD_MARK	Incarcati simbolul
GUILD_INFO_UPLOAD_SYMBOL	Ridicati steagul
GUILD_MARK	Simbol al breaslelor
GUILD_MEMBER_JOB	Clasa
GUILD_MEMBER_KNIGHT	Lider
GUILD_MEMBER_LEVEL	Nivel
GUILD_MEMBER_NAME	Nume
GUILD_MEMBER_RANK	Clasificare
GUILD_MEMBER_SPECIFIC_GRAVITY	Investit
GUILD_METIN_STONE	Piatra de spirit
GUILD_MINENAL	Mineral
GUILD_MONEY	yang
GUILD_NAME	Breasla
GUILD_RESOURCE_INFO	Informatii despre resurse
GUILD_SKILL_ACTIVE	Activ
GUILD_SKILL_PASSIVE	Pasiv
GUILD_SKILL_POWER	Energie
GUILD_SKILL_STATE	Abilitati de breasla
GUILD_SKIlL_HEAL_GSP	Recuperati puterea
GUILD_SYMBOL	Steagul breaslei
GUILD_WAR_ACCEPT	Acceptati warfall
