AFF_LOVE_POINT	Love points: %d%%
ALCHEMY_BRILLIANT	Brilliant
ALCHEMY_CLEAR	Clean
ALCHEMY_EXCELLENT	Excellent
ALCHEMY_FLAWLESS	Flawless
ALCHEMY_MTSY	Mystic
ALIGNMENT_NAME	Rank points:
ALL_CHANNEL	All ch	
ALL_KINGDOMS	|cFF97AE99All kingdoms:|h|r	
APRIL	April	
ATTR_6TH_7TH_ADD_QUESTION1	You cannot use this item while a bonus is being added.
ATTR_6TH_7TH_ADD_QUESTION2	Do you really want to add the bonus?
ATTR_6TH_7TH_DESC1	a. Bonus eklemek için doðru malzemeleri eklemeniz gerekiyor 6-7
ATTR_6TH_7TH_DESC2	b. Her buff þansý %2 arttýrýr
ATTR_6TH_7TH_DESC3	c. Baþarý þansýný artýrmak için bir güçlendirici kullanýn
ATTR_6TH_7TH_DESC4	d. Bonus ekleme iþlemi hemen gerçekleþir. Bonus eklenmemiþse tekrar deneyebilirsiniz
ATTR_6TH_7TH_POSSIBILITY	Ek bonus eklenebilir
ATTR_6TH_7TH_TOTAL_SUCCESS_PERCENT	Bonus ekleme þansý: %.1f
AUGUST	Aðustos
AUTOSKILL_0_1	Vücut Gücünüzü Çalýþtýrýn
AUTOSKILL_0_2	Vücut Dayanýklýlýðýnýzý Çalýþtýrýn
AUTOSKILL_1_1	Öldürmek için hançerlerinizi bileyin
AUTOSKILL_1_2	Savaþmak için yayýnýzý kullanýn
AUTOSKILL_2_1	Silahlarýnýzý büyüleyin
AUTOSKILL_2_2	Kara Büyü ile Oyna
AUTOSKILL_3_1	Yardým etmek için Gücü kullanýn
AUTOSKILL_3_2	Ýyileþtirmek için ýþýðý kullanýn
BANK_ADD_TITLE	Bank: Enter Yang	
BANK_APPEND_LOG_ADD	Joined	
BANK_APPEND_LOG_CHANGE_PW	Change pin	
BANK_APPEND_LOG_RECEIVED	Received	
BANK_APPEND_LOG_SEND	Send	
BANK_APPEND_LOG_WITHDRAW	Retired	
BANK_CHANGEPW_TITLE	Change Password	
BANK_CHOOSE_BOARD_TITLE	Bank account	
BANK_CHOOSE_CREATE	Create Account	
BANK_CHOOSE_LOGIN	Login	
BANK_CONECTING_DIALOG	Page: [%s - %d]	
BANK_CREATE_TITLE	Create a bank account	
BANK_CURRENT_PAGE		
BANK_LINE_ACCOUNT	Bill	
BANK_LINE_AMOUNT	Amount	
BANK_LINE_PASSWORD	Password:	
BANK_LINE_REPASSWORD	Repeat password:	
BANK_LOGIN_TITLE	Connecting the bank account	
BANK_SEND_TITLE	Send money to a character	
BANK_TITLE_LOGS_ACTION	#Action	
BANK_TITLE_LOGS_AMOUNT	#Amount	
BANK_TITLE_LOGS_DATE	#Date	
